t = 0,t = 1,t = 2,t = 3,t = 4,t = 5
IRS_[(hS307)]-{p},0,0,0,0,0,0
IRS_[(hS527)]-{p},0,0,0,0,0,0
IRS_[(tyrosines)]-{p},0,0,0,0,0,0
IRS_[pYMXM]--PI3K_[SH2],0,0,0,0,0,0
IR_[insulin]--insulin_[IR],0,0,0,0,0,0
PDK1_[PH]--PI_[PDK1],0,0,0,0,0,0
PI_[(3)]-{p},0,0,0,0,0,0
PPM1G_[(PPP1R3G)]-{p},0,0,0,0,0,0
PRAS40_[(Ser183)]-{p},0,0,0,0,0,0
PRAS40_[(Ser221)]-{p},0,0,0,0,0,0
PRAS40_[(Thr246)]-{p},0,0,0,0,0,0
PRAS40_[protein1433]--protein1433_[PRAS40],0,0,0,0,0,0
RHEB_[(G)]-{gtp},0,0,0,0,0,0
RHEB_[switch1]--mTOR_[MheatFAT],0,0,0,0,0,0
RHEB_[switch2]--mTOR_[MheatNheatFAT],0,0,0,0,0,0
RICTOR_[(Thr1135)]-{p},0,0,0,0,0,0
S6K1_[(T389)]-{p},0,0,0,0,0,0
SIN1_[(Thr86)]-{p},0,0,0,0,0,0
TSC2_[(Ser1130)]-{p},0,0,0,0,0,0
TSC2_[(Ser939)]-{p},0,0,0,0,0,0
TSC2_[(Ser981)]-{p},0,0,0,0,0,0
TSC2_[(Thr1462)]-{p},0,0,0,0,0,0
[IR],0,0,0,0,0,0
[activatedIR],0,0,0,0,0,0
[activatedPI3K],0,0,0,0,0,0
[insulin],0,0,0,0,0,0
